,car_id,amount,name,region,use_type,mileage
0,/ATVAaifQMLdlrDmVyAO2kxne,"₦ 3,858,750",Ford Ranger 2012 White,"Abuja (FCT), Katampe",107998 km,107998 km
1,/lnL4bfJXzxPGrK54b7gXWReB,"₦ 2,475,000",Toyota Corolla 2007 Black,"Abuja (FCT), Jabi",155547 km,155547 km
2,/8vb4xm57JfU7njyVYA3Jm3ba,"₦ 2,475,000",Toyota 4-Runner 2003 Blue,"Ogun State, Ado-Odo/Ota",320382 km,320382 km
3,/uooeplTNTjyhMjx8cgcF1AH6,"₦ 4,680,000",Mercedes-Benz GL-Class 2007 Silver,"Oyo State, Ibadan",326140 km,326140 km
4,/pIDiKBiTDgDvwOkODUp3G2ha,"₦ 3,375,000",Mercedes-Benz B-Class 2008 Silver,"Kaduna State, Kaduna / Kaduna State",99999 km,99999 km
5,/dyaXh4MzHKnQAis8CXaQPPsM,"₦ 6,861,093",Toyota Tundra 2008 White,"Abuja (FCT), Wuse",124166 km,124166 km
6,/44EPskf55bBCsTGbBXTrPTYj,"₦ 3,937,500",Toyota Camry 2007 Gold,"Lagos State, Isolo",168212 km,168212 km
7,/kgTgdgupXaqgQF53ngEEaaEi,"₦ 7,176,000",Lexus ES 2007 Black,"Rivers State, Port-Harcourt",101740 km,101740 km
8,/vXWpUmhQ97UZeEYNbbeUpWPn,"₦ 1,687,500",Honda Civic 2002 Blue,"Abuja (FCT), Lugbe District",294264 km,294264 km
9,/cYVIGV9sRucMcMHaCBvukHka,"₦ 2,925,000",Toyota Corolla 2005 Green,"Lagos State, Ajah",64935 km,64935 km
10,/fwwiSI1PdiLA7MaEHb7pIabB,"₦ 4,162,500",Mercedes-Benz C300 2010 Black,"Abuja (FCT), Jabi",208221 km,208221 km
11,/r7P4koefu2wsTbeUBCj8GcBg,"₦ 4,160,000",Honda Accord Crosstour 2010 Silver,"Lagos State, Lekki",213435 km,213435 km
12,/no5cklIi5Ulkg43nkQEskyHR,"₦ 7,350,000",Kia Optima 2013 Black,"Lagos State, Alimosho",328458 km,328458 km
13,/mnDC1rg6ThFgxm5nRgoighL,"₦ 1,470,000",Volkswagen Jetta 2009 Blue,"Oyo State, Ibadan",...,...
14,/ozm2KDncbEFzNGozdYfVI4gJ,"₦ 8,320,000",Honda Pilot 2011 Gray,"Lagos State, Kosofe",354471 km,354471 km
15,/tHNLirC9X1G89TJvhn7u6eou,"₦ 2,184,000",Toyota Camry 2002 Green,"Abuja (FCT), Lugbe District",553889 km,553889 km
16,/nmx6NNnvB05dIEOzYhrGXsNz,"₦ 4,680,000",Toyota Highlander 2002 Green,"Lagos State, Ifako-Ijaiye",243887 km,243887 km
17,/7Zmw7zv3gjNGYxE4xY0uomCW,"₦ 3,570,000",Honda Ridgeline 2006 Red,"Rivers State, Port-Harcourt",147666 km,147666 km
18,/yBj1PNwz6wOn5cyhqoGTQJix,"₦ 3,885,000",Hyundai Santa Fe 2013 Black,"Lagos State, Ajah",125109 km,125109 km
19,/ATVAaifQMLdlrDmVyAO2kxne,"₦ 3,858,750",Ford Ranger 2012 White,"Abuja (FCT), Katampe",107998 km,107998 km
20,/lnL4bfJXzxPGrK54b7gXWReB,"₦ 2,475,000",Toyota Corolla 2007 Black,"Abuja (FCT), Jabi",155547 km,155547 km
21,/8vb4xm57JfU7njyVYA3Jm3ba,"₦ 2,475,000",Toyota 4-Runner 2003 Blue,"Ogun State, Ado-Odo/Ota",320382 km,320382 km
